species,deviance,null_mod,index,resolution,dev_explained,kind,index2
Agrostis schraderiana,0.18194192347788196,0.1361607240263606,TLC,19,0.04578119945152137,species,Total Curvature (TLC)
Agrostis schraderiana,0.1767445156839359,0.1361607240263606,TLC,25,0.04058379165757531,species,Total Curvature (TLC)
Agrostis schraderiana,0.17192057206700906,0.1361607240263606,TLC,31,0.03575984804064847,species,Total Curvature (TLC)
Agrostis schraderiana,0.15474711396861063,0.1361607240263606,TLC,51,0.01858638994225003,species,Total Curvature (TLC)
Agrostis schraderiana,0.14294079112740665,0.1361607240263606,TLC,71,0.00678006710104606,species,Total Curvature (TLC)
Agrostis schraderiana,0.14002313728347526,0.1361607240263606,TLC,101,0.00386241325711467,species,Total Curvature (TLC)
Agrostis schraderiana,0.15002450103236287,0.1361607240263606,TLC,151,0.01386377700600227,species,Total Curvature (TLC)
Agrostis schraderiana,0.16225966798880853,0.1361607240263606,TLC,201,0.02609894396244794,species,Total Curvature (TLC)
Agrostis schraderiana,0.17804863945977734,0.1361607240263606,TLC,301,0.04188791543341674,species,Total Curvature (TLC)
Agrostis schraderiana,0.1414798429513927,0.1361607240263606,TP3,1,0.00531911892503211,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.16198544749361088,0.1361607240263606,TP3,3,0.02582472346725028,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.19505899410334204,0.1361607240263606,TP3,7,0.05889827007698145,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.20941816480412367,0.1361607240263606,TP3,15,0.07325744077776308,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.20775468883253043,0.1361607240263606,TP3,19,0.07159396480616986,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.1994592160159264,0.1361607240263606,TP3,25,0.06329849198956583,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.18983548404008277,0.1361607240263606,TP3,31,0.05367476001372218,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.15884454104205936,0.1361607240263606,TP3,51,0.02268381701569877,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.14312882353790257,0.1361607240263606,TP3,71,0.00696809951154198,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.13802331938483747,0.1361607240263606,TP3,101,0.00186259535847688,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.14072001459954675,0.1361607240263606,TP3,151,0.00455929057318615,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.14874917350853234,0.1361607240263606,TP3,201,0.01258844948217174,species,Topographic position index 3×3 (TP3)
Agrostis schraderiana,0.16465604958107705,0.1361607240263606,TP3,301,0.02849532555471645,species,Topographic position index 3×3 (TP3)
